"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_00044",6624.9896082817,-2.33201132324496,0.0587728113117629,-39.6784035202044,0,0
"EFEADKAH_00096",7663.66677434536,-3.84092202751619,0.0610938892068033,-62.869168707113,0,0
"EFEADKAH_00119",122604.928707169,-3.09210199857637,0.0546852634244515,-56.5436061736843,0,0
"EFEADKAH_00124",56925.6006322234,2.80052597021614,0.0589248981976666,47.52703960254,0,0
"EFEADKAH_00140",4867.05710330391,-2.59579662370273,0.0659328451018512,-39.3703111050769,0,0
"EFEADKAH_00144",6989.70558325982,-2.60851690567276,0.0649656481952,-40.1522493523814,0,0
"EFEADKAH_00145",5577.89764432567,-3.13627611545574,0.0683615396413697,-45.8777864265333,0,0
"EFEADKAH_00154",8626.56500430927,2.2076880115864,0.0576502985232844,38.2944766659749,0,0
"EFEADKAH_00186",51207.2298305248,2.13039654079182,0.048826338132885,43.6321178744506,0,0
"EFEADKAH_00189",5746.3217991117,-2.97365610467286,0.072307662384603,-41.1250482536144,0,0
"EFEADKAH_00190",1489.3870237709,-5.30275342783017,0.121878004580436,-43.5086990969771,0,0
"EFEADKAH_00192",11111.9337573702,5.46673287643725,0.0755870513838911,72.3236688870536,0,0
"EFEADKAH_00193",18080.6176181338,6.07017404894314,0.101018556648463,60.0896929270818,0,0
"EFEADKAH_00194",16444.8589722706,5.55263364409624,0.0631322234235553,87.9524487335653,0,0
"EFEADKAH_00268",9906.25153094532,-4.6663608975608,0.0729959357410017,-63.9263111047389,0,0
"EFEADKAH_00308",2488.65665213347,-5.0121688045513,0.101506051930836,-49.3780292821012,0,0
"EFEADKAH_00309",1902.54888585852,-4.4189554478075,0.0959925077650171,-46.0343786269736,0,0
"EFEADKAH_00310",7549.0671028989,-7.54921571910589,0.11093174436755,-68.0527991527212,0,0
"EFEADKAH_00311",4994.79367732262,-7.42217716415573,0.127391425267937,-58.2627688523381,0,0
"EFEADKAH_00313",7252.74783631553,-7.57164934826269,0.122287525709147,-61.916776092693,0,0
"EFEADKAH_00315",5762.06790591082,-3.55096886677297,0.0918452646113521,-38.6625144126817,0,0
"EFEADKAH_00316",30028.8786012621,-4.27521316926949,0.0787159099268617,-54.3119322795325,0,0
"EFEADKAH_00317",3328.58309038731,-3.75216227308425,0.0802813340350578,-46.7376672072456,0,0
"EFEADKAH_00322",14608.531296923,-3.17330101476358,0.079672480546516,-39.8293236635312,0,0
"EFEADKAH_00324",13471.55288908,-3.14158827235401,0.0720201978942683,-43.6209336298427,0,0
"EFEADKAH_00331",5504.54229143902,3.05520662090141,0.0676572671440426,45.1571095001053,0,0
"EFEADKAH_00344",19339.0336840765,4.61445663920814,0.0673899934045009,68.4739143912714,0,0
"EFEADKAH_00345",6059.7477196769,4.94202765558473,0.0830812582302829,59.4842658964856,0,0
"EFEADKAH_00362",8201.69968885592,2.37654040466615,0.0615184463790094,38.6313462798542,0,0
"EFEADKAH_00372",3707.13881750088,3.20330877505952,0.0690645305280502,46.3813878204603,0,0
"EFEADKAH_00373",5872.42164530632,3.25462798561999,0.0648038852369772,50.2227292965282,0,0
"EFEADKAH_00382",7434.11345360612,2.52876485097297,0.0624785603331809,40.4741216424924,0,0
"EFEADKAH_00383",4451.00444749406,2.737070438771,0.0706750610698921,38.7275284568095,0,0
"EFEADKAH_00392",22816.579265005,-5.62883342111822,0.0730776064222041,-77.0254212842957,0,0
"EFEADKAH_00410",4553.9448620056,-4.9090326775989,0.100579466149571,-48.8075038129426,0,0
"EFEADKAH_00426",3540.55171413112,-2.58809830733749,0.0661149493666733,-39.1454327974133,0,0
"EFEADKAH_00427",9519.66353587619,-3.06937528669653,0.0564639761173659,-54.3598856785526,0,0
"EFEADKAH_00449",24747.9704781413,-3.66146613935245,0.0672503718755116,-54.4452920815108,0,0
"EFEADKAH_00455",27789.6566989047,2.11861411122987,0.0502085575851321,42.1962751596203,0,0
"EFEADKAH_00486",3894.62555709893,-3.94811411080516,0.0871652888010187,-45.2945681143549,0,0
"EFEADKAH_00494",33007.5987867554,-2.84829264691448,0.0533375447066688,-53.40127039178,0,0
"EFEADKAH_00499",8740.44298593211,3.29486511390884,0.0664006903143169,49.6209466846224,0,0
"EFEADKAH_00500",13947.8637412587,3.68380686569698,0.0731040512890944,50.3912820252484,0,0
"EFEADKAH_00513",6783.15436841465,2.84916882081644,0.0627538258402745,45.4023126505203,0,0
"EFEADKAH_00528",28098.1444114406,-7.78278838727582,0.0931875964811519,-83.5174280822874,0,0
"EFEADKAH_00532",2096.29732985766,-3.5436220982503,0.0819326907428142,-43.2504054989929,0,0
"EFEADKAH_00545",5744.99893625103,2.33254346912214,0.0615383260380455,37.9039148331734,0,0
"EFEADKAH_00580",65004.6143350599,-5.81668713755565,0.087558726240277,-66.4318382338455,0,0
"EFEADKAH_00588",9239.81256473074,-9.54317278948269,0.173280977062381,-55.0734013119465,0,0
"EFEADKAH_00591",56605.2542054859,-3.71564495918203,0.0588371748330663,-63.1513149590223,0,0
