baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFEADKAH_01857	1652.86737328284	6.19600817528092	0.158104215276102	39.1893926702754	0	0
EFEADKAH_00193	18080.6176181338	6.07017404894314	0.101018556648463	60.0896929270818	0	0
EFEADKAH_00839	28371.5583428434	5.71050426818866	0.0873961557749442	65.3404513911791	0	0
EFEADKAH_00838	34568.3384611638	5.67717732341777	0.0728777146464506	77.900046001158	0	0
EFEADKAH_01343	4.81878453462036	5.62729287876562	1.48134159561293	3.79878138535442	0.000145409279299006	0.000217180888034942
EFEADKAH_00194	16444.8589722706	5.55263364409624	0.0631322234235553	87.9524487335653	0	0
EFEADKAH_00837	37576.2539123188	5.49845640823283	0.0693362787573226	79.3012908506016	0	0
EFEADKAH_00192	11111.9337573702	5.46673287643725	0.0755870513838911	72.3236688870536	0	0
EFEADKAH_02850	4652.48723643664	5.3694648402052	0.2073597316637	25.8944434250788	7.69205518578945e-148	5.6632990248659e-147
EFEADKAH_00834	17662.5380793452	5.32669498049435	0.0987846172750762	53.9223122731914	0	0
EFEADKAH_00836	40861.7568889695	5.29257510517728	0.078065678028559	67.7964406232542	0	0
EFEADKAH_00833	56584.8044920369	5.22989273006649	0.0606765360782097	86.1930009209057	0	0
EFEADKAH_00835	24350.5660972245	5.22402481197379	0.0866188767110641	60.3104659207213	0	0
EFEADKAH_01274	19.1844385619206	5.13623555378232	0.924999542653157	5.55268983058106	2.81306962525152e-08	4.84481996927211e-08
EFEADKAH_01976	3741.06749553077	4.99721705204803	0.0938181885820213	53.264906598353	0	0
EFEADKAH_00345	6059.7477196769	4.94202765558473	0.0830812582302829	59.4842658964856	0	0
EFEADKAH_00832	28383.9836339066	4.88817975079625	0.0738156517876356	66.2214534779064	0	0
EFEADKAH_00831	28196.4643239504	4.8850050978664	0.0779808414460875	62.643657176278	0	0
EFEADKAH_01773	10246.6090325184	4.84208274124116	0.0650689474084255	74.4146468337397	0	0
EFEADKAH_00344	19339.0336840765	4.61445663920814	0.0673899934045009	68.4739143912714	0	0
EFEADKAH_01611	4.72836902946852	4.59215565972535	1.44222267803417	3.18408227083539	0.00145213734098786	0.00204951846727111
EFEADKAH_00840	41968.2767321147	4.58246532888744	0.0671264281030032	68.2661875268531	0	0
EFEADKAH_00841	21431.7286610743	4.49069736117817	0.0684588619545019	65.5970203560016	0	0
EFEADKAH_00371	889.864991772935	4.47027898544204	0.127006672785195	35.1971978118233	2.20699065310834e-271	3.0082674397774e-270
EFEADKAH_01159	43208.1654780427	4.41166708980245	0.0617249915385242	71.4729476641403	0	0
EFEADKAH_01790	1838.22958372629	4.40935924590578	0.105279743515656	41.882313716409	0	0
EFEADKAH_00700	7.5148530820666	4.37381885228525	1.21686687250557	3.59432814805733	0.000325229726999817	0.000477276990252884
EFEADKAH_02074	49.3612806302201	4.3717903354281	0.489156999965034	8.93739706421578	3.98444575420234e-19	8.73058135569609e-19
EFEADKAH_01977	5960.39495856257	4.26212661994593	0.0670176994852429	63.5970296307237	0	0
EFEADKAH_01677	17.8359400580385	4.25983150760194	0.771541700317164	5.52119413098582	3.3670352426938e-08	5.77323966472825e-08
EFEADKAH_01774	3484.89678306006	4.2308408338263	0.0794746708308865	53.2350847080458	0	0
EFEADKAH_01160	32113.0692271059	4.20695375787067	0.0684107206583164	61.4955334103654	0	0
EFEADKAH_02340	93.030722777484	4.05449810715196	0.325417818862382	12.4593610802443	1.24362956782184e-35	3.54686434705832e-35
EFEADKAH_00396	27.6869631249788	4.04037469885602	0.589173353019978	6.85770101133379	6.99775227223259e-12	1.32510628133766e-11
EFEADKAH_01367	60480.843044653	4.03356148170328	0.0594309384932302	67.869725499333	0	0
EFEADKAH_01851	21.0955774936867	4.00600486912734	0.67068642591344	5.972992317045	2.32940874320665e-09	4.14878802645281e-09
EFEADKAH_01537	1.39369672980696	3.84619451652731	1.94895519076786	1.97346482604968	0.0484426281797362	0.0612823548795492
EFEADKAH_01978	6966.19232243832	3.78918930807016	0.0666883489975794	56.8193599785729	0	0
EFEADKAH_01801	215.331087237206	3.71082897928246	0.2020048514525	18.3699992975418	2.28414771295605e-75	1.01495315409765e-74
EFEADKAH_00830	13669.5448168235	3.71047628396679	0.0604466597783039	61.3843063880693	0	0
EFEADKAH_00500	13947.8637412587	3.68380686569698	0.0731040512890944	50.3912820252484	0	0
EFEADKAH_02723	772.158656054023	3.54043805445785	0.120908309774306	29.2820076723148	1.75783568503472e-188	1.587824114303e-187
EFEADKAH_01086	8253.87278417474	3.52728129115286	0.0653068550968562	54.0108888404069	0	0
EFEADKAH_00395	236.679971495308	3.506261869526	0.191857867244734	18.2753093207974	1.30149964260989e-74	5.70773611382248e-74
EFEADKAH_00232	1.07067939919649	3.46799193946362	2.31182272328261	1.50011153733247	0.133585512860293	0.162406493336781
EFEADKAH_01791	3152.12279109877	3.44669040903957	0.0753790284804617	45.7247921407339	0	0
EFEADKAH_01260	94.7901177120418	3.38324574903159	0.284809733053808	11.8789681544781	1.52234918377017e-32	4.1576070668669e-32
EFEADKAH_02073	417.885500212409	3.38192923171732	0.167912293912534	20.1410459765321	3.22454089990681e-90	1.63441553821072e-89
EFEADKAH_01776	324.122245763975	3.29914620726806	0.180847437137819	18.2427036815229	2.36467105761896e-74	1.03403101450216e-73
EFEADKAH_02563	0.95697592829274	3.29617966070502	2.20757071193069	1.49312529056986	0.135404393535962	0.164485626190213
EFEADKAH_00499	8740.44298593211	3.29486511390884	0.0664006903143169	49.6209466846224	0	0
EFEADKAH_01775	382.220450995124	3.2640653980737	0.14908017520922	21.8946978932167	2.91832790246094e-106	1.66934976046253e-105
EFEADKAH_00373	5872.42164530632	3.25462798561999	0.0648038852369772	50.2227292965282	0	0
EFEADKAH_02599	3202.54242447276	3.24284499663266	0.0715936088142288	45.2951743925522	0	0
